,GEOID,geometry,P_WrkAge,Pct_AO1,R_HiWageWk,D1B,D1C,D3A,D3AMM,D3APO,D3B,D4A,D5AR,D5CRI
2742,360610220001,"POLYGON ((-73.950197 40.806413, -73.94974 40.80704, -73.9469 40.805839, -73.947352 40.805213, -73.947813 40.804587, -73.948325 40.804802, -73.950142 40.805569, -73.950654 40.805785, -73.950197 40.806413))",0.847,0.375518672,216.0,85.55300671,19.37224096,27.43887934,27.43887934,0.0,59.32169479,244.08,648873.0,0.5316008
2757,360610025001,"POLYGON ((-74.001281 40.709994, -74.001235 40.710055, -74.001136 40.710176, -74.000776 40.71064, -74.000547 40.710445, -74.000411 40.710457, -74.000294 40.710401, -74.000021 40.710735, -73.999984 40.710902, -73.999885 40.711014, -73.9997 40.711076, -73.999341 40.711459, -73.998847 40.711056, -73.999112 40.710754, -73.999143 40.710575, -73.998586 40.710191, -73.99829 40.710471, -73.998168 40.710032, -73.998906 40.709863, -73.999588 40.709818, -73.99964 40.709813, -73.99969 40.709802, -73.999737 40.709786, -73.999781 40.709765, -74.000123 40.70946, -73.999281 40.708766, -73.999012 40.70856, -73.999191 40.708473, -73.999495 40.708279, -73.999869 40.70857, -74.000206 40.708835, -74.000232 40.708856, -74.000474 40.709051, -74.001225 40.709658, -74.001419 40.709815, -74.001281 40.709994))",0.508,0.11136537,410.0,176.0725064,7.488496756,46.04709363,10.32546333,10.8566512,0.0,183.73,838212.0,0.686720159
2758,360610027001,"POLYGON ((-74.000891 40.713015, -73.999157 40.713319, -73.999056 40.713328, -73.998956 40.713343, -73.998857 40.713365, -73.998762 40.713393, -73.998671 40.713428, -73.998584 40.713468, -73.998461 40.713522, -73.99802 40.713715, -73.997942 40.713746, -73.997868 40.71378, -73.997797 40.713819, -73.997729 40.713861, -73.997675 40.7139, -73.997625 40.713941, -73.997577 40.713984, -73.997535 40.714028, -73.997504 40.714069, -73.9973 40.713468, -73.997117 40.712799, -73.996947 40.712072, -73.99777 40.711971, -73.99851 40.711896, -73.998678 40.711879, -73.999514 40.711798, -73.999701 40.71178, -74.00051 40.710984, -74.000607 40.711069, -74.000693 40.711164, -74.000763 40.711266, -74.000819 40.711382, -74.000855 40.711495, -74.000872 40.711616, -74.000873 40.711697, -74.000891 40.713015))",0.6,0.247960848,400.0,97.68863501,88.26792807,37.56330403,10.3835265,27.10423705,218.5385559,105.95,927529.0,0.759894708
2759,360610028003,"POLYGON ((-73.979906 40.726866, -73.979469 40.727468, -73.977091 40.726465, -73.977535 40.725877, -73.977977 40.725288, -73.980333 40.726281, -73.979906 40.726866))",0.666,0.087486157,547.0,192.9540572,20.48444536,41.90765765,0.0,41.90765765,150.4658853,191.78,664770.0,0.544624702
2760,360610030011,"POLYGON ((-73.98923 40.721677, -73.988643 40.722933, -73.987865 40.722697, -73.987136 40.722469, -73.986285 40.722242, -73.98695 40.720983, -73.987769 40.721234, -73.988523 40.721462, -73.989032 40.721613, -73.98923 40.721677))",0.915,0.122270742,493.0,139.0310398,129.6931341,54.44551805,39.90452436,14.54099369,249.0108175,185.07,718717.0,0.588821745
2761,360610030022,"POLYGON ((-73.988451 40.723277, -73.987968 40.723942, -73.987502 40.724584, -73.985286 40.723649, -73.985752 40.723009, -73.986136 40.722469, -73.986224 40.722345, -73.986285 40.722242, -73.987136 40.722469, -73.987865 40.722697, -73.988643 40.722933, -73.988451 40.723277))",0.578,0.133040936,393.0,92.79742527,35.84911061,35.5362414,10.68356335,24.85267804,125.0323204,210.56,709560.0,0.581319709
2762,360610033001,"POLYGON ((-74.008378 40.716587, -74.007957 40.717122, -74.007536 40.717661, -74.007272 40.717992, -74.007052 40.718269, -74.006593 40.718862, -74.006432 40.719082, -74.006134 40.719445, -74.00594 40.719694, -74.005655 40.720057, -74.005498 40.720328, -74.005208 40.720628, -74.004635 40.721354, -74.003929 40.720854, -74.003512 40.720557, -74.003918 40.72004, -74.004373 40.719467, -74.004845 40.718853, -74.005323 40.718274, -74.005777 40.717677, -74.006249 40.717076, -74.006674 40.716532, -74.007097 40.715998, -74.007544 40.715433, -74.008823 40.716014, -74.008378 40.716587))",0.765,0.150918635,1108.0,104.1723222,917.9032547,27.55071084,25.27308301,2.27762783,54.04947831,134.11,746390.0,0.611493345
2763,360610033003,"POLYGON ((-74.007097 40.715998, -74.006674 40.716532, -74.006249 40.717076, -74.005777 40.717677, -74.004026 40.716871, -74.004198 40.71667, -74.004533 40.71628, -74.004976 40.71576, -74.00542 40.715236, -74.005889 40.714678, -74.007544 40.715433, -74.007097 40.715998))",0.605,0.507374631,766.0,49.12653941,268.0499432,45.27071506,32.62096312,2.879069461,161.9227508,0.0,743953.0,0.609496789
2785,360610174012,"POLYGON ((-73.950613 40.794965, -73.950158 40.795588, -73.948556 40.79491, -73.949013 40.794281, -73.949508 40.793606, -73.951111 40.794285, -73.950613 40.794965))",0.519,0.161629435,367.0,284.704909,31.40591845,21.96680262,15.7443025,6.222500123,0.0,143.5,486379.0,0.398474687
2786,360610055021,"POLYGON ((-73.994648 40.725931, -73.994403 40.726263, -73.994129 40.72664, -73.99364 40.727289, -73.993432 40.727532, -73.993147 40.727867, -73.991548 40.727089, -73.991638 40.726833, -73.991794 40.726391, -73.992061 40.725642, -73.992132 40.725445, -73.992209 40.725231, -73.993042 40.725452, -73.993758 40.725647, -73.994466 40.725846, -73.994648 40.725931))",0.723,0.410358566,264.0,48.08232892,147.7140238,27.177664,27.177664,0.0,97.3398009,250.79,724959.0,0.593935615
