"","X","GEOID","geometry","P_WrkAge","Pct_AO1","R_HiWageWk","D1B","D1C","D3A","D3AMM","D3APO","D3B","D4A","D5AR","D5CRI","D1C_Cat","D3B_Cat"
"11",2460,360610016001,"POLYGON ((-73.997504 40.714069, -73.997092 40.714618, -73.996806 40.715037, -73.996532 40.715473, -73.996059 40.716232, -73.995429 40.717279, -73.994808 40.718457, -73.993828 40.718145, -73.993095 40.717922, -73.9937 40.716748, -73.994275 40.715621, -73.994578 40.715087, -73.99414 40.714269, -73.994347 40.714247, -73.9945 40.714231, -73.994657 40.71422, -73.99484 40.714209, -73.996478 40.714107, -73.997444 40.714067, -73.997504 40.714069))",0.518,0.179640719,0.072856221792392,0.158790323164498,0.0283424411617038,0.353049487451303,0.312295097631461,0.173680494093089,0.0193123688027301,0.989478252337565,0.650938635198042,0.650938635,"Medium","Medium"
"12",2461,360610115001,"POLYGON ((-73.99402 40.756527, -73.993561 40.757144, -73.993379 40.757396, -73.993205 40.757637, -73.99307 40.757827, -73.992633 40.75843, -73.990646 40.757594, -73.989791 40.757234, -73.990276 40.756567, -73.990726 40.755951, -73.991177 40.75533, -73.991633 40.754707, -73.994468 40.755909, -73.99402 40.756527))",0.836,0.15739645,0.165699548678272,0.0976084041351661,0.237429501598328,0.20315955619915,0.35396521636595,0.0465319727597836,0,0.988086814570909,0.787608081913679,0.787608082,"Very High","Low"
"13",2462,360610174011,"POLYGON ((-73.949013 40.794281, -73.948556 40.79491, -73.948095 40.795541, -73.947645 40.796157, -73.946042 40.795467, -73.946483 40.794863, -73.946946 40.794234, -73.947406 40.793598, -73.947896 40.792928, -73.949508 40.793606, -73.949013 40.794281))",0.451,0.056574924,0.0524392864818397,0.183094842382817,0.00960809453047439,0.188860214199524,0.406899914453932,0.0481506536280171,0.0162503798460167,0.98990224462962,0.467149816238217,0.467149816,"Low","Medium"
"14",2463,360610163002,"POLYGON ((-73.984778 40.782483, -73.984452 40.783192, -73.98259 40.782393, -73.983053 40.78176, -73.983515 40.781126, -73.985072 40.78178, -73.984778 40.782483))",0.582,0.285423038,0.126584998925424,0.373129003660737,0.0316178215495516,0.196874737748601,0.419720402854237,0.052266591515343,0.0486953761080148,0.989597515608716,0.609083878283011,0.609083878,"Medium","Very High"
"15",2464,360610071004,"POLYGON ((-74.001948 40.736414, -74.001095 40.736564, -74.000722 40.735926, -74.000356 40.735307, -73.999973 40.734688, -73.999653 40.73407, -74.000357 40.733973, -74.001205 40.733843, -74.001389 40.734483, -74.001574 40.735128, -74.001693 40.735534, -74.00177 40.735762, -74.001948 40.736414))",0.876,0.127686473,0.134321942832581,0.207788614185039,0.0335802119429699,0.303051321254909,0.51322254618367,0.0891985899659429,0.0265104442833309,0.990207072460194,0.587342147563252,0.587342148,"Medium","High"
"16",2538,360610013002,"POLYGON ((-74.016606 40.704963, -74.016579 40.705089, -74.016421 40.705483, -74.016131 40.706244, -74.015956 40.70668, -74.015834 40.706984, -74.015765 40.707148, -74.015749 40.707186, -74.015693 40.707304, -74.015611 40.707486, -74.015591 40.707531, -74.015528 40.707672, -74.015513 40.707707, -74.014904 40.707208, -74.014836 40.707137, -74.014775 40.707062, -74.014721 40.706983, -74.014674 40.706903, -74.014635 40.706819, -74.014604 40.706734, -74.014581 40.706648, -74.014566 40.70656, -74.014559 40.706472, -74.01456 40.706383, -74.01462 40.70614, -74.014397 40.7061, -74.014325 40.706234, -74.014137 40.706173, -74.013254 40.705871, -74.013356 40.705415, -74.013326 40.705031, -74.013286 40.704655, -74.014289 40.704549, -74.015184 40.704666, -74.015417 40.704684, -74.016567 40.704774, -74.016628 40.704799, -74.016606 40.704963))",0.874,0.107877928,0.288416075650118,0.099453110237987,0.358444488173419,0.372254982092645,0.57007633510564,0.0552665968521376,0.033139609427589,0.989597515608716,0.635370087874672,0.635370088,"Very High","Very High"
"17",2539,360610014011,"POLYGON ((-73.990225 40.714532, -73.990202 40.714665, -73.989754 40.715553, -73.989155 40.716708, -73.988367 40.716446, -73.987535 40.716197, -73.986721 40.715952, -73.986835 40.715777, -73.986929 40.715603, -73.986996 40.715456, -73.987074 40.715241, -73.987129 40.715031, -73.987138 40.714974, -73.987166 40.714802, -73.987178 40.714597, -73.987172 40.714377, -73.987165 40.714312, -73.988703 40.714185, -73.989337 40.714133, -73.99022 40.714405, -73.990225 40.714532))",0.575,0.349502488,0.101439931227165,0.215318691028926,0.012394319075731,0.0843394522857777,0.0418573094836678,0.0866858608678659,0.0144118185614468,0.990644404057639,0.718950157381358,0.718950157,"Low","Medium"
"18",2540,360610014022,"POLYGON ((-73.9862 40.716899, -73.98587 40.717518, -73.985826 40.717603, -73.985693 40.717862, -73.985671 40.717927, -73.985074 40.719083, -73.984232 40.718828, -73.983395 40.718571, -73.983995 40.717414, -73.984035 40.717331, -73.984071 40.717259, -73.98414 40.717128, -73.984173 40.717068, -73.984233 40.716956, -73.984536 40.716394, -73.985013 40.715438, -73.985801 40.715677, -73.985867 40.715697, -73.986721 40.715952, -73.9862 40.716899))",0.688,0.088628763,0.0823124865678057,0.110777319742891,0.0103051409407457,0.290500429930888,0.573664564473595,0.0278191119804847,0.0228798394537549,0.990472079993937,0.709977535675019,0.709977536,"Low","High"
"19",2541,360610015011,"POLYGON ((-74.008601 40.711392, -74.008348 40.711359, -74.007968 40.711447, -74.008089 40.711463, -74.008147 40.711477, -74.008204 40.711495, -74.008216 40.711522, -74.008227 40.711547, -74.008222 40.711578, -74.008216 40.711606, -74.008186 40.711657, -74.008135 40.711698, -74.008079 40.711721, -74.008022 40.711731, -74.007964 40.711736, -74.007905 40.711737, -74.007846 40.711733, -74.007796 40.711709, -74.007741 40.71169, -74.007626 40.711668, -74.007507 40.711669, -74.007018 40.711784, -74.00609 40.712003, -74.006052 40.712012, -74.005908 40.712045, -74.00574 40.712089, -74.005589 40.71217, -74.00542 40.712213, -74.005276 40.712249, -74.005127 40.712307, -74.004987 40.712375, -74.004891 40.712433, -74.004858 40.712453, -74.004291 40.712908, -74.004412 40.712698, -74.004489 40.712547, -74.0045 40.712405, -74.004464 40.712272, -74.004417 40.712194, -74.004229 40.712025, -74.004106 40.711928, -74.00401 40.711853, -74.003971 40.711822, -74.003731 40.711657, -74.00363 40.711575, -74.003537 40.711495, -74.003311 40.711315, -74.003364 40.711269, -74.00341 40.711235, -74.003467 40.711192, -74.003591 40.711037, -74.003615 40.711008, -74.003642 40.710974, -74.003658 40.710913, -74.003754 40.710706, -74.003822 40.710592, -74.004147 40.710251, -74.004253 40.710166, -74.004827 40.70966, -74.005148 40.709425, -74.005512 40.709093, -74.006435 40.709557, -74.007054 40.709872, -74.007307 40.709999, -74.007745 40.710221, -74.009063 40.710887, -74.008601 40.711392))",0.796,0.198328267,0.206963249516441,0.155066220398352,0.231419740581076,0.306295092687857,0.518537859731752,0.0772076889475773,0.0399353570527149,0.98987576363818,0.696617734527717,0.696617735,"Very High","Very High"
"20",2542,360610015021,"POLYGON ((-74.010542 40.709154, -74.009988 40.709806, -74.009543 40.710327, -74.009474 40.710413, -74.009063 40.710887, -74.007745 40.710221, -74.008418 40.70953, -74.008893 40.709044, -74.009371 40.708614, -74.00966 40.708756, -74.010147 40.708976, -74.010542 40.709154))",0.705,0.232175503,0.398452611218569,0.183813075150907,0.356281323412924,0.250433900025836,0.620978556322801,0.0259013499220289,0.0254295133265794,0.9898890041339,0.728002248071034,0.728002248,"Very High","High"
"21",2543,360610018002,"POLYGON ((-73.990974 40.718348, -73.990529 40.71916, -73.990436 40.719318, -73.99021 40.719243, -73.989733 40.719096, -73.988971 40.718873, -73.988173 40.718612, -73.98736 40.71837, -73.987434 40.718213, -73.98751 40.718074, -73.987879 40.717409, -73.988671 40.71765, -73.989473 40.717893, -73.990233 40.718124, -73.990716 40.718269, -73.990974 40.718348))",0.731,0.086124402,0.0365355684504621,0.07903888122022,0.04354852269284,0.324701215797255,0.452534612936702,0.0848065463785269,0.0250147583473371,0.989743259871308,0.627941786102268,0.627941786,"High","High"
"22",2544,360610018004,"POLYGON ((-73.991506 40.721028, -73.990629 40.720766, -73.989857 40.720533, -73.990436 40.719318, -73.991243 40.719562, -73.992118 40.719832, -73.991506 40.721028))",0.728,0.133470226,0.0507199656135826,0.205121882266099,0.0327622963869297,0.147396758631448,0.201618674642121,0,0,0.989822801655299,0.537538853778709,0.537538854,"Medium","Low"
"23",2545,360610018005,"POLYGON ((-73.994422 40.719392, -73.994378 40.719519, -73.994265 40.719782, -73.994035 40.720323, -73.993795 40.720937, -73.993669 40.721256, -73.993523 40.721632, -73.992731 40.721395, -73.992237 40.721248, -73.991506 40.721028, -73.992118 40.719832, -73.992195 40.719679, -73.992621 40.718851, -73.993095 40.717922, -73.993828 40.718145, -73.994808 40.718457, -73.994422 40.719392))",0.668,0.030555556,0.0507199656135826,0.0986078576284386,0.0649600301927441,0.304840441891483,0.159518803354012,0.236469358291858,0.052263526612992,0.989133703019831,0.584690996737675,0.584690997,"Very High","Very High"
"24",2546,360610020001,"POLYGON ((-73.977364 40.721861, -73.977346 40.721885, -73.976893 40.722498, -73.97616 40.722187, -73.975533 40.721922, -73.974763 40.721596, -73.974648 40.72152, -73.974543 40.721471, -73.972869 40.720725, -73.973491 40.718972, -73.973635 40.718612, -73.974742 40.718841, -73.974874 40.718779, -73.974923 40.718766, -73.974995 40.718746, -73.975119 40.718753, -73.975093 40.718984, -73.974995 40.719784, -73.974959 40.720053, -73.974928 40.720328, -73.975283 40.720218, -73.975524 40.720261, -73.976048 40.720509, -73.976389 40.720649, -73.976725 40.720786, -73.977 40.72086, -73.976883 40.721106, -73.977683 40.72142, -73.977364 40.721861))",0.527,0.058212058,0.0646894476681711,0.233802379021553,0.00375105475178916,0.231052206035356,0.10243785653223,0.078399700361534,0.00846949232683019,0.989544454816166,0.747640098902017,0.747640099,"Low","Low"
"25",2547,360610021001,"POLYGON ((-74.009681 40.714946, -74.009239 40.71552, -74.008996 40.715807, -74.008823 40.716014, -74.007544 40.715433, -74.005889 40.714678, -74.00631 40.714166, -74.006753 40.713618, -74.007225 40.713055, -74.008832 40.713796, -74.010128 40.714383, -74.009681 40.714946))",0.684,0.257898604,0.32495164410058,0.132997016698203,0.277973588521529,0.201886692267559,0.424253794803922,0.0564643809249988,0.0210214026490012,0.988086814570909,0.693705237251782,0.693705237,"Very High","High"
"26",2548,360610022011,"POLYGON ((-73.983824 40.721473, -73.983003 40.721223, -73.982167 40.720969, -73.981308 40.720709, -73.98193 40.719459, -73.982803 40.719723, -73.983642 40.719978, -73.984477 40.720235, -73.983824 40.721473))",0.709,0.058064516,0.089404685149366,0.272801082407301,0.0277436121093329,0.243251617527274,0.649259820754835,0.00367637025883979,0.0286541250898838,0.98984928264674,0.640371718217732,0.640371718,"Medium","High"
"27",2549,360610022012,"POLYGON ((-73.984477 40.720235, -73.983642 40.719978, -73.982803 40.719723, -73.98193 40.719459, -73.982477 40.71829, -73.983395 40.718571, -73.984232 40.718828, -73.985074 40.719083, -73.984477 40.720235))",0.917,0.205521472,0.0762948635289061,0.118129887246299,0.0154770839502997,0.221074560760034,0.470239199414524,0.0591913958299966,0.0253834804213237,0.99158526973113,0.654135418424679,0.654135418,"Low","High"
"28",2550,360610022021,"POLYGON ((-73.98373 40.721606, -73.983444 40.722019, -73.982964 40.722671, -73.980607 40.721678, -73.978231 40.720674, -73.978719 40.719983, -73.978753 40.719934, -73.979735 40.720235, -73.981308 40.720709, -73.982167 40.720969, -73.983003 40.721223, -73.983824 40.721473, -73.98373 40.721606))",0.821,0.139699381,0.188910380399742,0.169335429711731,0.0153203813017376,0.231130576683133,0.240856599891912,0.178765298549683,0.0290938330402039,0.988709611918106,0.687786846162795,0.687786846,"Low","High"
"29",2566,360610216003,"POLYGON ((-73.953935 40.801288, -73.953477 40.801917, -73.952556 40.80153, -73.952508 40.800686, -73.952458 40.799843, -73.954394 40.800659, -73.953935 40.801288))",0.653,0.038397329,0.0597464001719321,0.309753194316703,0.00388291685691779,0.254259971350652,0.442205001508355,0.1140427336129,0.0444939588029573,0.990339576227065,0.53781085071137,0.537810851,"Low","Very High"
"30",2567,360610052002,"POLYGON ((-73.99312 40.736691, -73.992654 40.73733, -73.992225 40.737917, -73.991798 40.738504, -73.991375 40.739088, -73.990945 40.739673, -73.990798 40.739875, -73.990518 40.740262, -73.989582 40.739865, -73.989765 40.739177, -73.989952 40.738488, -73.990123 40.737796, -73.990331 40.737132, -73.990752 40.736531, -73.990929 40.736284, -73.991109 40.736031, -73.991211 40.735888, -73.991715 40.735215, -73.993617 40.736005, -73.99312 40.736691))",0.632,0.304081633,0.218783580485708,0.147298043707708,0.375209911429257,0.236477931563717,0.605262240447518,0.0156540205678513,0.0172195813968481,0.990246793947354,0.60826461041355,0.60826461,"Very High","Medium"
"31",2568,360610188003,"POLYGON ((-73.940021 40.797947, -73.939954 40.798036, -73.93987 40.79815, -73.939522 40.798625, -73.93728 40.797679, -73.937774 40.797002, -73.938285 40.796301, -73.940519 40.797261, -73.940021 40.797947))",0.703,0.122370937,0.058027079303675,0.264553769502869,0.012220039301411,0.176254688872648,0.16282806837654,0.0759213827466711,0,0.988086814570909,0.670024299485008,0.670024299,"Low","Low"
"32",2569,360610036011,"POLYGON ((-73.990041 40.721921, -73.989392 40.723174, -73.988643 40.722933, -73.98923 40.721677, -73.989857 40.720533, -73.990629 40.720766, -73.990041 40.721921))",0.682,0.141975309,0.049645390070922,0.280868622617625,0.019389327163933,0.259930638915903,0.672820366776241,0.0136963123340646,0.0239054834113675,0.989663718087318,0.555267810473848,0.55526781,"Low","High"
"33",2570,360610026012,"POLYGON ((-73.982524 40.723278, -73.982083 40.723882, -73.981637 40.724494, -73.979281 40.723505, -73.979726 40.72289, -73.980168 40.722283, -73.980607 40.721678, -73.982964 40.722671, -73.982524 40.723278))",0.721,0.139686684,0.0926284117773479,0.164924703022014,0.0115101555057643,0.227075114507697,0,0.28591878053784,0.0278725698751297,0.990869690104221,0.631562130817416,0.631562131,"Low","High"
"34",2571,360610080001,"POLYGON ((-73.977435 40.74954, -73.976986 40.750157, -73.976535 40.750775, -73.976048 40.751441, -73.974449 40.750766, -73.974935 40.7501, -73.975383 40.749483, -73.975835 40.748863, -73.976288 40.748245, -73.977888 40.748921, -73.977435 40.74954))",0.613,0.049800797,0.0823124865678057,0.0901948619175681,0.329819089045437,0.192976317417122,0.446591910366009,0.0348335135321162,0.0131994488676337,0.989411951049294,0.918062562571584,0.918062563,"Very High","Medium"
"35",2572,360610071001,"POLYGON ((-73.999684 40.738552, -73.99922 40.738358, -73.99684 40.737361, -73.997341 40.736668, -73.997824 40.73687, -73.998288 40.737066, -73.998513 40.737162, -74.000183 40.737865, -73.999684 40.738552))",0.71,0.360655738,0.076079948420374,0.17298651197869,0.119900465580333,0.265218501517107,0.299803640746425,0.15086082005901,0,0.988086814570909,0.591118972441467,0.591118972,"Very High","Low"
"36",2573,360610163003,"POLYGON ((-73.982519 40.782489, -73.982477 40.782546, -73.982126 40.783027, -73.981662 40.783661, -73.980473 40.783161, -73.980811 40.782473, -73.980948 40.782079, -73.981064 40.781751, -73.98146 40.781918, -73.98259 40.782393, -73.982519 40.782489))",0.801,0.194690265,0.0640447023425747,0.091901561855767,0.0406514983429973,0.232355939889199,0.495746143156414,0.0615077758791213,0,0.989239725795262,0.614104351787069,0.614104352,"High","Low"
"37",2574,360610147001,"POLYGON ((-73.98954 40.772866, -73.988333 40.772358, -73.987405 40.771967, -73.986695 40.771668, -73.987146 40.771054, -73.988433 40.77159, -73.988786 40.771737, -73.989994 40.772242, -73.98954 40.772866))",0.806,0.257196496,0.281968622394154,0.25596209093028,0.0327633181126927,0.184408571150125,0.334320063422057,0.0493769628307692,0.0249554880177037,0.991187659620846,0.633358785255145,0.633358785,"Medium","High"
"38",2575,360610133004,"POLYGON ((-73.990729 40.766137, -73.990422 40.766561, -73.989964 40.767188, -73.987122 40.765989, -73.987576 40.765364, -73.988032 40.764737, -73.989445 40.765332, -73.990514 40.765782, -73.990876 40.765934, -73.990729 40.766137))",0.837,0.172503243,0.114764667956157,0.161719157055879,0.0266868963465089,0.119485287524494,0.250928532848893,0,0,0.990087809189042,0.629721235914737,0.629721236,"Medium","Low"
"39",2576,360610133002,"POLYGON ((-73.988491 40.76411, -73.988032 40.764737, -73.985192 40.763543, -73.985647 40.762915, -73.987255 40.76359, -73.987287 40.763537, -73.987436 40.763296, -73.987388 40.763267, -73.987594 40.762916, -73.988947 40.763486, -73.988491 40.76411))",0.727,0.05963939,0.135611433483774,0.20836044827631,0.0643685343792332,0.21687569613787,0.505538489708532,0,0,0.990445599002497,0.765517343081529,0.765517343,"Very High","Low"
"40",2577,360610225004,"POLYGON ((-73.950496 40.82312, -73.949694 40.823604, -73.949006 40.823315, -73.949465 40.82269, -73.949921 40.822073, -73.9513 40.82265, -73.950496 40.82312))",0.502,0.182795699,0.0414786159467011,0.386615118134796,0.00918216492389046,0.33237292303473,0.731117421679168,0.0777396695348795,0.0311982170556822,0.98991548512534,0.578751304684082,0.578751305,"Low","Very High"
"41",2586,360610064001,"POLYGON ((-73.983632 40.738165, -73.983147 40.738832, -73.982665 40.739497, -73.980418 40.73855, -73.980905 40.737886, -73.981392 40.737222, -73.982134 40.737534, -73.983251 40.738005, -73.983632 40.738165))",0.788,0.210295728,0.174725983236622,0.262435166462149,0.107771290799716,0.198531547222153,0.268029508519806,0.124723912252745,0,0.988086814570909,0.774820949007129,0.774820949,"Very High","Low"
"42",2587,360610064002,"POLYGON ((-73.984446 40.737046, -73.98442 40.737082, -73.984373 40.737145, -73.984082 40.737546, -73.983632 40.738165, -73.983251 40.738005, -73.982134 40.737534, -73.981392 40.737222, -73.981841 40.736602, -73.982267 40.73602, -73.982572 40.736148, -73.98266 40.736185, -73.982673 40.73619, -73.984508 40.736962, -73.984446 40.737046))",0.908,0.089839572,0.131742961530196,0.212065187126831,0.0550614285327402,0.156810020039101,0.423624414858562,0,0,0.990829869807391,0.662120822348317,0.662120822,"High","Low"
"43",2588,360610065002,"POLYGON ((-74.001413 40.731065, -74.000122 40.730432, -73.999584 40.730165, -73.999367 40.730058, -74.000435 40.728794, -74.00119 40.729168, -74.000499 40.729988, -74.00102 40.730246, -74.001684 40.730581, -74.001413 40.731065))",0.813,0.081818182,0.0913389211261552,0.266478726594405,0.0684525430774243,0.243032830993373,0.656556518488521,0,0.0163496477318436,0.990140771171923,0.586671167178163,0.586671167,"Very High","Medium"
"44",2589,360610065004,"POLYGON ((-74.00139 40.72766, -74.000435 40.728794, -73.999678 40.728423, -73.998955 40.728068, -73.999916 40.726935, -74.000632 40.727287, -74.00139 40.72766))",0.866,0.06162465,0.103159252095422,0.319728683613276,0.0695023383074084,0.27818007815479,0.498011838363113,0.118150655837597,0.0440536227236206,0.989478252337565,0.56090601195148,0.560906012,"Very High","Very High"
"45",2590,360610065005,"POLYGON ((-74.000435 40.728794, -73.999367 40.730058, -73.998605 40.729685, -73.997886 40.72931, -73.9984 40.728734, -73.998955 40.728068, -73.999678 40.728423, -74.000435 40.728794))",0.899,0.139917695,0.0928433268858801,0.232910432849587,0.0556890052846656,0.096475507650675,0.251099711696944,0.00444188839127789,0,0.990988953375373,0.567052159508177,0.56705216,"High","Low"
